crop_name,crop_category,crop_sub_category,seasons_possible,duration_days_min,duration_days_max,yield_unit,price_unit,gdd_base_temp_c,volatility_class,is_perishable,major_states,yield_min_per_acre,yield_max_per_acre,price_min_inr_per_unit,price_max_inr_per_unit
Paddy (Rice),Cereal,Staple,Kharif|Rabi,100,150,quintal,INR_per_quintal,10,LOW,false,"West Bengal,Punjab,Uttar Pradesh,Andhra Pradesh,Telangana,Karnataka,Tamil Nadu,Bihar,Odisha,Chhattisgarh",8,35,1400,3500
Wheat,Cereal,Staple,Rabi,100,135,quintal,INR_per_quintal,4,LOW,false,"Punjab,Haryana,Uttar Pradesh,Madhya Pradesh,Rajasthan,Bihar,Gujarat",12,30,1500,3200
Maize (Corn),Cereal,Staple,Kharif|Rabi|Summer,90,120,quintal,INR_per_quintal,10,MEDIUM,false,"Karnataka,Andhra Pradesh,Telangana,Rajasthan,Madhya Pradesh,Bihar,Uttar Pradesh,Himachal Pradesh",10,40,1200,2800
Sorghum (Jowar),Cereal,Millet,Kharif|Rabi,90,120,quintal,INR_per_quintal,8,LOW,false,"Maharashtra,Karnataka,Andhra Pradesh,Telangana,Rajasthan,Madhya Pradesh",6,20,1400,2600
Pearl Millet (Bajra),Cereal,Millet,Kharif,60,90,quintal,INR_per_quintal,10,LOW,false,"Rajasthan,Gujarat,Haryana,Uttar Pradesh,Maharashtra,Karnataka",4,18,1200,2400
Finger Millet (Ragi),Cereal,Millet,Kharif|Rabi,90,120,quintal,INR_per_quintal,8,LOW,false,"Karnataka,Andhra Pradesh,Tamil Nadu,Odisha,Maharashtra",4,20,1500,3500
Barley,Cereal,Staple,Rabi,90,120,quintal,INR_per_quintal,4,LOW,false,"Rajasthan,Uttar Pradesh,Madhya Pradesh,Haryana,Punjab",8,22,1100,2000
Small Millet (Kodo),Cereal,Millet,Kharif,90,120,quintal,INR_per_quintal,10,LOW,false,"Madhya Pradesh,Chhattisgarh,Karnataka,Tamil Nadu",3,12,3000,6000
Chickpea (Gram),Pulse,Legume,Rabi,90,120,quintal,INR_per_quintal,0,LOW,false,"Madhya Pradesh,Rajasthan,Maharashtra,Uttar Pradesh,Andhra Pradesh,Karnataka",3,10,3000,7500
Pigeon Pea (Arhar/Tur),Pulse,Legume,Kharif,150,200,quintal,INR_per_quintal,10,MEDIUM,false,"Maharashtra,Karnataka,Andhra Pradesh,Telangana,Madhya Pradesh,Gujarat,Uttar Pradesh",2,8,4000,9000
Lentil (Masur),Pulse,Legume,Rabi,90,120,quintal,INR_per_quintal,2,LOW,false,"Madhya Pradesh,Uttar Pradesh,Bihar,West Bengal,Rajasthan",2,8,3500,7000
Green Gram (Moong),Pulse,Legume,Kharif|Rabi|Summer,60,75,quintal,INR_per_quintal,10,LOW,false,"Rajasthan,Maharashtra,Andhra Pradesh,Karnataka,Madhya Pradesh",1,6,5000,9000
Black Gram (Urad),Pulse,Legume,Kharif|Rabi,70,85,quintal,INR_per_quintal,10,LOW,false,"Andhra Pradesh,Telangana,Madhya Pradesh,Uttar Pradesh,Rajasthan,Tamil Nadu",1,5,5000,9000
Cowpea,Pulse,Legume,Kharif|Summer,60,90,quintal,INR_per_quintal,10,LOW,false,"Karnataka,Tamil Nadu,Andhra Pradesh,Telangana,Kerala,Maharashtra",1,5,4000,8000
Horse Gram,Pulse,Legume,Rabi|Summer,75,90,quintal,INR_per_quintal,8,LOW,false,"Karnataka,Andhra Pradesh,Tamil Nadu,Maharashtra,Chhattisgarh",2,10,4000,9000
Kidney Beans (Rajma),Pulse,Legume,Rabi,90,120,quintal,INR_per_quintal,5,LOW,false,"Jammu & Kashmir,Himachal Pradesh,Uttarakhand,Punjab,Haryana",2,8,6000,12000
Field Pea,Pulse,Legume,Rabi,75,100,quintal,INR_per_quintal,5,LOW,false,"Uttar Pradesh,Madhya Pradesh,Bihar,West Bengal,Punjab",3,10,3000,6000
Groundnut,Oilseed,Legume-Oil,Kharif|Rabi,110,135,quintal,INR_per_quintal,10,MEDIUM,false,"Gujarat,Andhra Pradesh,Tamil Nadu,Karnataka,Rajasthan,Maharashtra",5,18,4500,8000
Soybean,Oilseed,Legume-Oil,Kharif,90,110,quintal,INR_per_quintal,10,MEDIUM,false,"Madhya Pradesh,Maharashtra,Rajasthan,Karnataka,Andhra Pradesh",3,12,3500,6500
Mustard (Rapeseed),Oilseed,Oil,Rabi,90,120,quintal,INR_per_quintal,5,LOW,false,"Rajasthan,Haryana,Madhya Pradesh,Uttar Pradesh,West Bengal",4,15,4000,7500
Sunflower,Oilseed,Oil,Rabi|Summer,90,110,quintal,INR_per_quintal,6,MEDIUM,false,"Karnataka,Andhra Pradesh,Telangana,Maharashtra,Tamil Nadu",3,14,4000,7500
Sesame (Til),Oilseed,Oil,Kharif|Rabi|Summer,70,90,quintal,INR_per_quintal,15,MEDIUM,false,"West Bengal,Uttar Pradesh,Gujarat,Rajasthan,Madhya Pradesh,Andhra Pradesh",1,5,8000,15000
Linseed (Flax),Oilseed,Oil,Rabi,110,140,quintal,INR_per_quintal,5,LOW,false,"Madhya Pradesh,Uttar Pradesh,Bihar,Chhattisgarh,Odisha",1,5,5000,9000
Castor,Oilseed,Oil,Kharif|Rabi,150,180,quintal,INR_per_quintal,10,MEDIUM,false,"Gujarat,Rajasthan,Andhra Pradesh,Telangana,Karnataka",5,20,5000,10000
Safflower,Oilseed,Oil,Rabi,120,150,quintal,INR_per_quintal,5,LOW,false,"Maharashtra,Karnataka,Andhra Pradesh,Madhya Pradesh,Gujarat",2,8,4000,8000
Sugarcane,Cash Crop,Sugar,Annual,300,365,tonne,INR_per_tonne,12,LOW,false,"Uttar Pradesh,Maharashtra,Karnataka,Tamil Nadu,Bihar,Andhra Pradesh,Gujarat",150,450,2800,4200
Cotton,Cash Crop,Fiber,Kharif,180,200,quintal,INR_per_quintal,15,HIGH,false,"Gujarat,Maharashtra,Telangana,Andhra Pradesh,Rajasthan,Madhya Pradesh,Karnataka",3,12,5000,10000
Jute,Cash Crop,Fiber,Kharif,100,120,quintal,INR_per_quintal,15,MEDIUM,false,"West Bengal,Bihar,Odisha,Assam,Meghalaya",15,40,2000,4000
Tobacco,Cash Crop,Commercial,Rabi|Summer,100,140,quintal,INR_per_quintal,15,MEDIUM,false,"Andhra Pradesh,Telangana,Karnataka,Gujarat,West Bengal",4,12,8000,20000
Tea,Plantation,Beverage,Annual,0,0,kg,INR_per_kg,10,LOW,false,"Assam,West Bengal,Tamil Nadu,Kerala,Karnataka,Himachal Pradesh",200,800,100,300
Coffee (Arabica),Plantation,Beverage,Annual,0,0,kg,INR_per_kg,10,MEDIUM,false,"Karnataka,Kerala,Tamil Nadu",200,600,200,500
Coffee (Robusta),Plantation,Beverage,Annual,0,0,kg,INR_per_kg,15,MEDIUM,false,"Kerala,Karnataka,Tamil Nadu",250,700,150,400
Rubber,Plantation,Industrial,Annual,0,0,kg,INR_per_kg,20,MEDIUM,false,"Kerala,Tamil Nadu,Karnataka,Assam,Tripura",400,1200,100,250
Coconut,Plantation,Multi-use,Annual,0,0,nut,INR_per_1000_nuts,18,LOW,false,"Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,West Bengal",8000,25000,8000,20000
Areca Nut (Betel Nut),Plantation,Stimulant,Annual,0,0,quintal,INR_per_quintal,20,HIGH,false,"Karnataka,Kerala,Assam,West Bengal,Tamil Nadu",4,16,20000,80000
Cashew,Plantation,Nut,Summer,0,0,quintal,INR_per_quintal,20,MEDIUM,false,"Kerala,Goa,Karnataka,Maharashtra,Odisha,Andhra Pradesh",2,8,15000,40000
Tomato,Vegetable,Solanaceous,Kharif|Rabi|Summer,75,100,quintal,INR_per_quintal,10,HIGH,true,"Andhra Pradesh,Karnataka,Maharashtra,Madhya Pradesh,West Bengal,Odisha",40,200,100,30000
